2026-03-09 06:40:46,583 [INFO] Login...
2026-03-09 06:41:03,810 [INFO] OK 2026-01-01: C:\Users\Vladimir\Documents\Reportes\track\TRACK BI\data\kpi_desempeno\bulk\kpi_desempeno_2026-01-01.xlsx
2026-03-09 06:41:09,352 [INFO] OK 2026-01-02: C:\Users\Vladimir\Documents\Reportes\track\TRACK BI\data\kpi_desempeno\bulk\kpi_desempeno_2026-01-02.xlsx
2026-03-09 06:41:14,859 [INFO] OK 2026-01-03: C:\Users\Vladimir\Documents\Reportes\track\TRACK BI\data\kpi_desempeno\bulk\kpi_desempeno_2026-01-03.xlsx
2026-03-09 06:41:20,905 [INFO] OK 2026-01-04: C:\Users\Vladimir\Documents\Reportes\track\TRACK BI\data\kpi_desempeno\bulk\kpi_desempeno_2026-01-04.xlsx
2026-03-09 06:41:22,575 [WARNING] FAIL 2026-01-05 attempt 1: Page.wait_for_timeout: Target page, context or browser has been closed
2026-03-09 06:41:22,578 [WARNING] FAIL 2026-01-05 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,582 [WARNING] FAIL 2026-01-05 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,586 [WARNING] FAIL 2026-01-06 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,590 [WARNING] FAIL 2026-01-06 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,594 [WARNING] FAIL 2026-01-06 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,600 [WARNING] FAIL 2026-01-07 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,601 [WARNING] FAIL 2026-01-07 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,608 [WARNING] FAIL 2026-01-07 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,611 [WARNING] FAIL 2026-01-08 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,617 [WARNING] FAIL 2026-01-08 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,619 [WARNING] FAIL 2026-01-08 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,624 [WARNING] FAIL 2026-01-09 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,627 [WARNING] FAIL 2026-01-09 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,630 [WARNING] FAIL 2026-01-09 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,634 [WARNING] FAIL 2026-01-10 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,638 [WARNING] FAIL 2026-01-10 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,640 [WARNING] FAIL 2026-01-10 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,644 [WARNING] FAIL 2026-01-11 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,648 [WARNING] FAIL 2026-01-11 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,650 [WARNING] FAIL 2026-01-11 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,653 [WARNING] FAIL 2026-01-12 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,656 [WARNING] FAIL 2026-01-12 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,659 [WARNING] FAIL 2026-01-12 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,663 [WARNING] FAIL 2026-01-13 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,667 [WARNING] FAIL 2026-01-13 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,668 [WARNING] FAIL 2026-01-13 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,668 [WARNING] FAIL 2026-01-14 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,677 [WARNING] FAIL 2026-01-14 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,681 [WARNING] FAIL 2026-01-14 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,684 [WARNING] FAIL 2026-01-15 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,687 [WARNING] FAIL 2026-01-15 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,692 [WARNING] FAIL 2026-01-15 attempt 3: Page.goto: Target page, context or browser has been closed
